Name,Class 10th Percentage (%),Class 12th Percentage (%),Mathematics-I [T],Applied Physics-I [T],Applied Chemistry [T],Communication Skills [T],Applied Physics-I [P],Applied Chemistry [P],Communication Skills [P],Engineering Graphics [P],Engineering Workshop Practice [P],Sports and Yoga [P],Semester-I (SGPA),Mathematics-II [T],Applied Physics-II [T],Introduction to IT Systems [T],Fundamentals of Electrical and Electronics Engineering [T],Engineering Mechanics [T],Applied Physics-II [P],Introduction to IT Systems [P],Fundamentals of Electrical and Electronics Engineering [P],Engineering Mechanics [P],Semester-II (SGPA),Computer Programming [T],Scripting Languages [T],Data Structures [T],Computer System Organisation [T],Algorithms [T],Computer Programming [P],Scripting Languages [P],Data Structures [P],Summer Internship-I,Semester-III (SGPA),Operating Systems [T],Introduction to DBMS [T],Computer Network [T],Software Engineering [T],Web Technologies [T],Operating Systems [P],Introduction to DBMS [P],Computer Networks [P],Web Technologies [P],Minor Project [P],Semester-IV (SGPA),E-Governance [T],IoT [T],Information Security [T],Advance Computer Network [T],Data Sciences [T],Renewable Energy [T],Summer Internship-II,Semester-V (SGPA),Entrepreneurship and Startup [T],Mobile Computing [T],Software Testing [T],Project Management [T],Artificial Intelligence [T],Mobile Computing [P],Software Testing [P],Major Project [P],Seminar,Semester-VI (SGPA),final_cgpa,Information Security [P]
Student_248,66.38,91.56,B+,B+,C+,B,B+,B+,C,A,A,A+,6.02,A,C,A+,A,B,C+,B+,B,B,9.4,A+,C+,C,A,B+,A,A,C,C,6.5,B,A+,C,C+,B,B+,A+,A+,A+,B+,9.2,C,A+,B,A+,C,C,B,6.43,C,C+,B+,A,A,A,C+,C+,C+,8.93,,B
Student_249,63.24,70.23,C,C+,C+,B,A+,A,A+,B+,C,C+,7.83,C,B+,C+,B+,A+,A,A,B,A+,7.3,B+,A,A,C+,A+,B+,A+,A+,B,6.44,A+,B,C,C+,B+,B,C+,A+,C,B+,7.81,A+,A,B,B+,C,A+,C+,8.59,C,B,B,C,C,C,C,C+,C,6.93,,B
Student_250,91.25,94.57,C+,B+,A,B+,C,A+,C+,C,C,A,8.15,A,B,C+,A,C,C+,B,A+,A,9.01,C+,A,B+,C,B,C,A+,B,A,7.66,B,B,A,B+,C+,C+,A+,B+,C,B,8.42,B+,A,A+,A,C,C+,A,6.44,B,C,B+,C,C+,C,B+,B+,A+,6.59,,A+
Student_251,89.93,75.41,C,B,C+,B+,B,A+,C,A+,A,C+,7.95,B+,A+,A,C+,C,A,C,A,A+,6.7,A+,B+,A+,C+,B,B+,A,C+,A,7.08,B+,C,B+,B+,B,B,A+,C,C+,B+,8.69,B,A+,A,A+,B,C+,C,8.74,B,C,C,C,A+,A+,B+,C+,C,6.57,,A
Student_252,72.92,88.65,C+,A+,B,C+,A+,A+,A,A+,B+,A,7.85,B+,A+,C+,B+,C+,C,A,B+,C,8.66,B,B,A,B+,B+,C+,B+,B,B+,9.46,A,B,A,A,C,B+,C+,A+,B,C+,7.45,C,C,B,B+,C,C+,C+,8.44,B,C+,A,A+,B+,A,B,C,A+,6.6,,B+
Student_253,90.72,85.7,A,B,A,C+,B,C+,B,A+,C+,B,6.08,A+,A+,A+,B+,A,C+,C+,C,C+,6.5,A+,C+,B+,B,A,A,C+,A,B+,8.01,A,C+,A+,A,B,C,C,B,B+,A,8.44,A,C+,A,A+,B+,C,A+,9.16,C+,C+,A,C+,B+,B,B,B+,A,9.25,,C
Student_254,61.37,69.37,B+,C,C,A+,B+,C+,C+,A,C+,B,6.01,B,C+,B+,C+,C,B+,A,A+,A+,8.76,A+,A+,C+,A+,B,A,A,A+,B+,7.9,C,B+,B+,B+,C,A,C+,B+,C+,A+,7.95,C,A+,B+,A+,A,A+,A,6.13,B+,C+,C+,B,A+,B+,B+,C,B,6.08,,A+
Student_255,71.47,69.67,C+,B+,A,A+,B+,B,A,C,B,A+,9.23,A+,B,C+,C,A+,C,B+,A+,A,6.99,A+,C+,C,A,A,C,B,C+,B+,8.5,C+,A+,A,C+,B+,C+,B,C+,A,B+,9.37,A+,A,A,B+,A,A+,B+,6.24,B+,B,A,B+,B+,B,A,B+,C,9.41,,A+
Student_256,83.6,72.98,B,B,A,C,B+,B,B,A,A+,C,7.56,C+,A+,C+,B+,B,B,C,C,A,7.49,C,B,A,C+,A+,C,A,C+,B,9.33,A,C,B,B+,B+,B+,A,B,B,B,8.31,A,B+,C,C,A+,A+,C,9.01,A+,C+,A+,A+,A,B,B,A,A,6.48,,C
Student_257,64.46,87.93,A+,A+,B+,C,A+,C,C,A+,C,A+,8.25,B+,C+,C+,C+,C+,C+,B,B,C,7.15,C,B+,B,B+,B+,C,B+,A,A+,6.37,B+,A,B+,A,C,B,B+,C+,C,C+,9.54,A,A+,B+,A,B+,A+,C,6.38,B+,B+,C,A+,A+,A+,B,B+,A+,8.59,,B
Student_258,89.35,63.07,A+,B,C,C+,B,C+,A,C+,C+,B,7.44,A+,A,C,C,A,B,B+,B,B+,9.28,A+,A+,A+,B,B,B+,B+,B+,B+,7.02,B,C+,A,C,A,C,C+,A,C,B,6.55,A+,C+,B,A,B+,B,C,8.58,C+,C,B+,B+,A,C,C,A+,B,8.63,,B
Student_259,62.36,85.46,C+,B,B,C+,B,A+,A,C,B,B+,8.58,C+,B+,B+,A,B,C,A+,A,C+,6.31,A,B+,C+,A,C,B,B+,B+,C+,6.26,B,B+,B+,B+,B+,C+,A,C,C+,B+,8.95,C+,C+,A+,C+,C,A,A+,8.43,C+,B,C,A+,C+,A,A+,A+,A+,9.44,,A
Student_260,82.98,76.48,B,A+,A,A+,A,C+,C,A,C+,A+,7.04,C,C+,B+,C,C+,B,B,A+,B,7.43,C+,C+,C,B+,C+,C+,C,C,A+,9.04,A+,A+,C,A+,C,B,C,C+,A,C+,8.28,C,B,A+,C+,B,C,A+,8.69,A,B,C,B,A+,A+,B+,B,A,6.81,,A+
Student_261,77.64,77.11,A+,B,C+,C+,C,B,C,B,A,A+,7.77,C+,B+,A,A,C,C,C+,B,B+,8.27,B+,C+,A+,C+,B+,A,B,C,C,7.04,A,C,A,A+,A,A,B,B,B+,C+,6.43,A+,A+,C,C,C,A,A,7.06,A,C+,B+,C,B,A+,B,B+,B,7.93,,B
Student_262,77.31,83.79,C+,B+,A+,B+,A+,A,B+,C,B+,C,6.06,C,A+,A+,C,A+,A+,A,B+,C,7.72,B,B+,C+,B+,A,A,C,B+,C,8.82,B,A,A+,C,A,B+,C,B+,C+,A+,9.06,A+,B,B,B+,A+,C,B+,8.6,A,C+,A+,B+,B+,C,A,B,A+,6.03,,B+
Student_263,81.12,90.23,B,A,C,B,A,A,C,C+,B+,B+,9,A,A+,B+,C+,B,C,A+,C+,B,7.28,C,C+,A+,A+,A+,C,C+,B,A,9.04,B+,C,B,C,B+,C,B,C+,B+,C,8.28,C,C+,C+,B,C+,B,C,6.13,A,A+,A+,B,B+,B+,C,A+,A,7.85,,C+
Student_264,64.67,61.55,A+,B,A,B,B+,B,C,C,A+,A,9.58,C,C,B,B,A+,A+,B,A+,B+,9.53,B,A,A+,A+,B,A,A,B,B,6.02,A+,A+,C,A+,A,A,B,A+,B+,A,7.59,C+,C,C,A,A+,A+,B,9.33,B,A,C+,B,B,C+,C,A+,C,8.08,,A+
Student_265,64.94,93.57,B,C,A+,A+,A,C,A+,A,A+,B+,8.85,A,C+,A+,B,A,C+,B+,B+,A+,6.24,B+,A,B,C+,A,C,C,C+,A,8.19,C+,B+,B+,A+,C,A+,A+,C,B,C+,8.66,B+,C,A,B,C+,A+,A,6.59,A,B+,B,B,A+,C,A,A+,C+,7.67,,B+
Student_266,86.09,86.14,A+,B,A+,C,C,C+,A,B,C+,C+,7.45,B+,A+,A+,C,C+,A,A,B,C,8.23,B,A,C+,B,B,A,B,B,A,6.69,B,C,C+,A,C+,C+,B,C,B+,B+,8.63,A+,C+,B,B,B+,B+,C+,8.58,B,A+,C+,C,B,C,B+,B,B,7.05,,B
Student_267,72.41,74.28,A,B,C+,A+,C,B+,B+,A+,A,B,6.25,A+,A,C+,C+,C,A+,C,A,B,9.57,C,B,A+,A+,C,A,A+,A+,A+,6.59,A,B+,C+,C+,C+,B,B,C+,C+,C+,8.15,C+,B,B,C,A,B+,A+,9.29,C,A+,C+,B,C+,C,A+,B+,B,6.01,,A
Student_268,67.99,88.48,B+,B,B,A+,A+,C,A,A+,B,C+,9.01,B+,B,C+,C+,B+,A+,A,A+,C,6.52,C+,B,A+,A+,B+,B,C+,B,C+,8.98,B,A+,C+,C,C,B+,C+,A+,B+,A,6.12,C,C+,C+,B,A,C,A,6.38,C+,B+,C+,A+,C,A+,C+,A,A+,8.3,,A+
Student_269,68.87,62.62,A,B,B,A+,B,B,B+,B+,A,A,7.67,C,A,A+,C+,A,C,B,C,B+,7.33,B+,C,A+,C+,C,C+,A,B+,A,9.37,A+,C,C+,B,B+,C+,A+,C,C,B,7.44,C+,B,C,B+,C+,B,B+,9.44,C+,B,B+,B,A,B,B+,C+,B+,7.16,,C
Student_270,72.12,66.56,A+,A+,C+,C,B+,A,B+,C,B+,C+,7.95,C,C+,B+,B+,A,C,C,B,C,6,A,C,C,B+,B+,C,C,A+,B+,6.31,A,A+,A,C+,A,A+,C,A+,A,A,9.1,B+,A+,C,B,B,C+,C,8.99,C+,A,A,C+,A+,C,A+,B,A+,8.43,,B
Student_271,75.5,92.69,A,B,B+,B+,C+,A+,C+,A,A,B,7.95,B+,C+,B,B+,B,B,A,B+,C,7.12,C,B,A,A,A+,C+,A+,C+,B,6.55,C+,C+,B,C+,C+,B+,A,B,C+,A+,8.56,B+,B,B,B+,B,A+,A,9.18,C+,C+,A,A,C,C,B,B+,A,6.53,,B+
Student_272,67.57,72.64,C,A+,B+,C,C+,B+,B,B+,B,A,6.1,C,A,C+,B,C+,A+,A,B,A+,8.1,C+,A,B+,B,B,B,A+,B+,C+,6.51,A,B+,B,C,C+,C,C,B,C,B,7.37,A+,C+,A,C,B+,B,B+,8.93,A,A+,C,A,A+,C,A,A+,C+,9.08,,B
Student_273,86.47,69.01,C+,C+,A,C,C+,C+,B+,C+,C+,B+,7.76,A+,C,C,C,C,B+,C,B+,C,8.52,C,C+,C+,A,B,C,A+,B,A,6.15,C,C,A+,A,B+,A+,A,A,C,C+,7.82,B,A+,A+,A,B,C,B+,7.72,B,A,B,C,A+,C,B,A+,B,6.81,,B+
Student_274,67.92,61.95,C,A+,A+,A,A,C+,B+,C+,C,B,6.48,A+,B,B+,C,A,C,A+,A+,C+,9.41,A+,C,B,C,B+,B,C+,A,C,8.33,C,A+,A,B+,A+,B+,B,B,B,C+,6.2,C,A,A,C+,A,C+,B,7.98,C,B,B,C,C+,A,C+,C,C+,7.43,,A+
Student_275,61.8,88.66,A+,C+,C,C,B+,A+,A+,B+,C+,B,9.26,B,C,B+,B+,A+,B,B+,C+,C,7.47,C,C,B,A+,A,A+,A,A+,C,9.48,C,A,B+,B,B+,C+,B+,C,A,C,9.16,A+,A+,A,C,A,A,C,7.68,B,A+,A,A+,B,C,C+,A,A,7.09,,C+
Student_276,85.19,68.01,B+,C+,B,B+,A,C+,C,B,A+,A+,6.56,A,A+,B+,A,B,A+,A+,B,C+,6.58,A,B,C,A+,B,B,C+,C,B+,6.36,B,C,C,C+,A+,B+,A+,B+,B,C,6.79,C+,B+,B+,C+,B,C,C,7.44,C,A+,C,C,A+,C,B,C,A,8.28,,B
Student_277,80.6,77.7,B,C,C+,A,C+,B+,A,A+,C,A+,7.32,B,B,C,C+,C,C+,B+,A+,B,9.4,C+,B+,C,B+,C+,C,A,B,C,8.09,A+,B,C,C,A+,A,C,A,B+,A,7.22,B+,A,C,A,C+,C,A+,8.3,A+,A+,C+,A,A,C,C+,C,C,9.14,,A+
Student_278,82.4,60.98,B,B,A,A+,A+,C+,A+,C,C+,A,8.27,B+,C,B,A+,C,C,A+,A,C+,8.04,A,A,A,C,B+,C+,A+,C,A+,8.92,B,A,C,B+,B,C,B,C+,B+,A+,8.45,C,A,C,C+,B+,B+,A+,7.04,B+,B,B,B,C+,B+,B,C,B,8.56,,A
Student_279,73.21,68.52,A+,B+,B,A+,B+,C+,B+,C+,B+,A,9.69,B+,B,A,B,C,A+,C+,C+,B+,6.08,A+,B+,B+,C+,B,B+,B,B+,A+,8.23,C+,A,B+,B,C+,A,C+,B+,A+,A+,8.74,C+,B+,C+,C+,C+,C,A+,7.14,B,B+,A,A+,B+,B+,C,A,A,8.78,,C+
Student_280,79.31,81.63,B+,C,C,A+,A+,C,C,C,B+,A+,6.18,A,C+,A+,A+,A,B+,C,B+,B,7.39,A,A+,A+,C,B,A+,A,B,B+,8.37,A,B+,A,C,B+,A,B+,A+,A+,A+,9.44,B+,A,A+,C,C+,B+,A,7.47,A+,C,C+,C+,C+,B,A,B+,A+,6.99,,B+
Student_281,71.09,91.09,A,B+,C+,C,B,A+,A+,B+,B,C+,8.2,B,B+,C,C,B+,A+,A,C+,C,9.07,A+,C+,C,B,A+,C,A,C+,B,9.11,B,A,B,C,C,A,C,C,B,C+,8.56,B+,A,B,B,C,B+,A+,8.97,A,A,A+,B+,C+,C+,B+,B+,B+,8.87,,C+
Student_282,80.1,91,C,C,B+,A+,A,C+,A+,A+,C,B+,7.36,B,C,C,A,A,C+,B+,B+,C+,8.26,C+,A,B+,A+,C+,C+,C+,B,A+,6.63,C,C,A+,A+,B,A+,A,C,C+,A,7.22,A,A+,C+,B,C+,C+,C,8.6,A+,B,A,B+,C+,A+,B+,A+,B+,9.01,,B+
Student_283,92.65,90.52,A+,B,A+,B+,B+,A+,B+,A+,B+,A+,6.42,C+,C,A+,B+,C,C,B,C,A+,7.52,B,A+,A,B+,A+,A+,A+,B,C+,7.99,A+,A,B,B,A+,B+,A+,A,C+,B,9.43,B+,A,C,C+,C+,A+,B+,9.27,A+,B+,C+,C,A,C,A,A+,C+,8.69,,C
Student_284,86.91,76.83,A,B+,C,B,A+,C,C+,B,C,A,9.62,B+,C+,B,B+,B,C,A+,C+,A+,6.71,A+,A,A+,B+,B+,C,B,C+,B+,6.35,B,C,C,A,C,C,B,C,C+,C,7.34,B,A,C,C+,B,A+,B,7.2,B+,C+,C,B,B+,C+,A+,A+,C+,8.53,,C+
Student_285,84.6,94.22,B,B,C,C+,A,B+,A+,B+,A+,C,9.48,B+,B,B+,C+,C,A+,C+,A,B+,7.07,B,B+,C,B,B,C,A+,C,C+,9.13,A+,A,B,C,B,B+,C+,C+,A,A,8.89,C+,C,B,A,A,A,C,6.82,B,A+,A+,A,B+,C+,A+,C+,B,9.68,,A
Student_286,85.9,79.82,C+,A+,B,B,B+,A,C+,C,B+,A,8.4,C,A,A,C+,A+,B+,B,B,B,9.35,B+,A+,C+,C+,C,B,C+,A+,C+,7.47,A+,B+,B+,C,C+,B+,A,C+,C,B+,8.19,C,C,C,A,C+,A,C+,9.67,A,B+,A,B+,B+,B+,C+,B,C,7.97,,B
Student_287,64.83,81.34,B,C,B,A+,A,C+,C,C,C+,C,6.52,C+,C,B+,B+,B,C+,C+,C,C+,6.37,C+,A+,A+,B,C+,C+,A+,A+,C,6.62,C,A+,A+,B,C,B,A,C+,A+,C+,6.73,B,C,C,C,B,B+,A,6.97,A+,B,B+,A,B,A+,A+,A+,B+,8.36,,C
Student_288,72.32,74.44,C+,B,C,B+,B+,C,C,B+,C,C,6.93,B+,A,B+,C+,A+,B,A+,C+,B+,9.67,B,B,C+,B+,A,C+,C,B+,B+,9.58,A+,B+,C+,B+,C+,C+,B+,A+,B+,C,6.18,B,B+,B+,C+,C,C+,C+,6.49,A+,B+,B+,B+,A,C+,C+,B+,A,6.41,,C+
Student_289,62.52,77.09,A,A,A+,A+,A,B+,A+,C,A,B,7.7,A,B+,A,C+,A+,C,B,C,B+,9.6,A+,B+,B,A,C+,C+,C+,B+,C,8.07,B+,A+,A+,B,C+,A,C,C+,A+,B+,6.18,A,A+,C,B,C,C,B+,8.85,B,C+,B,C,C+,C,A+,A,C+,9.35,,C
Student_290,75.22,66.75,A+,A+,B+,B+,C+,B,C+,B+,B+,C+,6.14,C,A+,C,B,A,A+,C+,A,C+,7.44,C,B,A+,B,B+,B,B,B,B+,7.53,B+,B+,B,B,C,A,C+,C,C+,A,6.32,C,B,A,A,B+,B,A,9.06,B+,B+,B+,A+,A+,B,B,A+,A,6.96,,A
Student_291,91.86,60.85,B+,A,B+,A+,A,C+,A,C+,B,B,7.31,B+,A+,A+,B,A+,B+,B,B,C+,6.07,B+,C+,B+,C,C,A,B,B+,A+,9.73,C,C+,B+,A+,B+,C,A,C,B,A+,6.32,C,C,A,B,C+,A,B+,9.74,C+,C+,A,A+,B,C+,B,C,A,7.99,,B
Student_292,79.58,89.2,C,A,A+,B+,A,B,C+,C+,C+,C+,7.13,C,B+,A+,C,B,A+,A+,B,B,7.83,B+,C+,C,C+,B+,B+,C+,B,C,7.78,C,B,A,C,C+,A+,B,C+,A+,B+,6.8,C,C+,C+,C,C,B+,A,6.29,B+,A+,C+,C,B+,B,C+,C,A,6.74,,B
Student_293,92.03,80.21,A+,C,A,B+,B+,B,C+,A,B+,A,8.46,A,A+,A,C,B+,A+,A+,A,C,7.89,B+,B,A+,A+,A+,B+,A+,C+,B+,7.68,A+,C+,B,B+,A,A+,A+,A,C,C+,9.34,B+,A,B,C,C+,A+,A+,6.75,C,B+,B,C+,A+,A,B,C+,C+,6.48,,A
Student_294,85.04,92.49,C+,B+,A,B,B+,B+,B,C,A+,A,8.43,B+,C,C+,B+,B,A,B,C+,A+,7.71,A,A+,B+,A+,C+,C,A+,B+,C,7.76,C+,C+,C,B,B+,C+,C+,C,C+,A,8.52,A,A,B+,B+,B+,B+,B+,9.21,A,A,C,C+,B,B,C+,C+,C+,7.77,,C+
Student_295,60.59,62.99,A,B+,C,A+,A,A+,B+,A,B,C,8.22,B,B,C,B+,B,C,A,C,B+,6.7,C,A,C,C+,C,C,A+,C,C+,7.89,A,C,C+,A,A+,C+,B+,C+,B+,A,8.07,A,C,C+,C+,C,B,C+,7.06,B,A,A+,C+,C+,A+,B+,A+,C+,7.67,,C
Student_296,66.79,64.15,C,A+,A,A,C,A,B+,B,C,B,9.79,A+,B+,B+,C,B+,A+,A+,C+,B+,8.25,B,B+,B,B,B,C,C+,A,A+,6.45,A+,B,C,B,A+,A+,A,C+,B+,B+,8.22,B,B,A,C+,B+,B,C,6.28,B,A+,C+,C,C,B,C+,C,B+,7.41,,C+
Student_297,93.85,82.5,A+,C+,A,A,B,B,B+,C,B+,A+,9.72,C,A,B,A+,B+,A,C,C,B+,9.07,C+,C+,C,B+,B+,B,A,B,B+,8.32,A,B,B+,B+,B+,C,A+,C+,A,A+,6.79,A,A+,B+,B+,A,B+,A,6.03,C+,C,B+,A+,A,A,A,C,A+,6.77,,C
Student_298,61.73,79.16,B,B,B+,B,C+,B+,C,A,C+,C+,6.23,A+,B,C+,C+,C,B+,C+,B+,C+,6.09,B+,B,B,A+,A,B,B+,C+,A,6.7,B+,A,B,C+,C,C+,A,A+,B,A+,6.19,A,C,B,B+,A,B,C,6.46,A,A+,A+,C+,A,C+,C+,A+,A,7.16,,B+
Student_299,61.85,77.63,C,B+,A+,C,B,C+,C,B,A,C,9.16,B,B,C+,A+,A,A+,B,B+,A+,9.42,C+,C+,A+,C,B,B+,C,B+,C,9.2,C+,C+,C+,C,C,B,C+,A,A,A,6.1,A,B+,B,A,C+,A+,A+,7.31,B+,A,B,B+,C,C+,B,A+,B,7.6,,B+
Student_300,63.84,81.23,A,A+,B+,C+,C,B+,A,A+,A+,C+,6.72,B+,A+,B,B+,A,B,A,B+,A,6.93,A+,B,C+,A,B+,A+,A,C+,C+,7.5,C+,B,C,B,B,A,A,C+,A,C+,8.52,A,A,A+,A,A+,A+,B,8.06,A,B,C,B+,A,A,B+,B+,B,9.57,,B+
Student_301,93.66,86.5,C,B,C,A,C+,C+,B,B,A,B,6.65,B+,C,C+,B,A+,A+,A,B,A+,6.48,B+,A+,B,B,C,B+,C,B,C,9.32,A+,A+,C+,C+,C+,C,B,C+,C+,C,8.21,A+,B+,B+,B+,A,A+,A,9.61,A+,A,C,C,B,C,C+,A,B,8.8,,B
Student_302,81.22,61.03,A,B,C,B,C,A+,B+,B+,C,B,7.43,C+,B,B,A+,B+,C,C+,B,A+,8.42,A,C,B,B,C+,C+,C+,A+,C+,6.14,A,A,C,B,B+,B+,C+,C,C,A+,6.64,A,C,C+,A+,C,A+,B,7.39,A+,B,A+,A+,C,C,A,C+,C+,7.97,,B
Student_303,62.29,89.12,A+,C+,C+,B+,A+,A+,B+,A+,A,B+,7.22,A,C,C+,A+,B,A+,A,C,B+,7.54,A,A,C,B+,A,C+,B+,C,C+,8.59,A,B,C+,C,A,A+,C,B,B+,B,9.46,C+,C,C,B,B,A,C,6.96,A+,C,A+,A+,C,B+,A,B+,A,9.78,,C
Student_304,84.21,68.33,C,C,A+,B,B+,C+,C+,C+,B,C+,7.6,C+,C,C,B,B,A+,C+,B,A,9.44,C+,B,B,A+,B+,B,C,A+,C+,6.28,A+,C,C,B,B,A+,C,B,B+,C,8.35,A,A,C,C,C+,B+,B+,6.78,A,A+,A,C+,B+,A,C,A+,A+,9.73,,B
Student_305,77.69,88.04,A,A+,A+,B,B,A+,C+,B+,B+,A,7.16,B+,C,A,A+,C+,A,B,A+,C+,8.3,B+,B+,A,C,C+,A+,B,B+,A+,8.31,B,B+,C+,A,B+,C+,A+,C+,C+,B,9.62,B+,B,A+,B+,A+,B+,A,9.76,A+,B+,A,A+,A,A+,B,B,C,8.06,,A+
Student_306,71.74,79.95,B,C+,B,B+,C,B,B+,A,C,B+,6.95,C+,C+,C,A,C+,C+,C,C+,A+,6.92,C,C,B+,A,C,B+,B,C,C+,8.8,A+,C,A,C+,B+,B,A,A,B,B,8.41,C+,B,A+,A+,B,C,B,6.12,A+,C+,C,B+,C,B+,C,C+,A,9.06,,C+
Student_307,63.23,88.06,A,A,C+,A,A,C,C+,C,A,B,8.46,B,B,C,B+,A,A+,A+,B,C+,7.55,B,C,C+,A,A+,C+,A,C+,B+,9.72,B,A,A+,B,A+,A+,A+,B,A,C,6.4,C,A+,C,A+,B+,C,B+,7.64,C+,B+,B,B,A+,A,B,C+,B,7.98,,B
Student_308,62.86,73.27,A+,A,C+,B,B,A,A+,C,C+,C,8.44,C,C+,B,A+,C+,C+,C,B,A+,6.59,C+,B+,B,C+,B,B,A,B,A+,9.27,C+,A+,B+,A,C+,B,B,A+,A+,A+,9.16,A+,A,C+,B,B,C,A,8.38,A,C,C+,B+,A+,B+,A+,B+,A+,6.97,,B
Student_309,93.54,69.79,B,A+,C+,B,A+,C+,B+,A+,B,B,9.14,B,B+,B,C+,C+,B+,B,A+,B+,6.53,A,B+,C,B+,B+,A+,C,A,C+,7.58,A,A+,C,B,A,C+,B+,C+,C,A,9.1,C,C,B+,B+,A+,B+,C,6.84,C,C,A,A+,B,C+,B+,C,B+,8.74,,A+
Student_310,74.66,65.68,C+,C,A+,A,A,B,A+,C+,A+,C+,7.33,A+,B,B,C+,A+,C+,B+,C+,B+,8.82,B,B+,B,C+,B,B+,C,A,C+,6.11,C,A+,A,A,A+,A,C,A+,C+,C+,7.02,B+,C+,C+,B,C+,B,A+,7.5,A,C,A+,A+,A+,B+,A+,B,C,7.08,,C+
Student_311,66.86,85.11,B+,B+,A+,C,B,A+,A+,B,A+,A+,8.89,A,A,A,B,A+,B,C+,B,B+,7.5,A+,A+,A,C,A,C,C+,A,A,9.49,C+,C,C+,A,B,A,C,B+,B+,A,6.61,A+,B,C+,A+,B,A,B,7.28,C,A,A+,C+,B+,B+,C,A,A,6.46,,B
Student_312,93.89,94.38,A+,C,B,A+,A+,A,A,A+,A+,B,6.88,A+,C,C+,C+,B,B+,A+,A+,B+,6.41,A,B+,A,B,A+,A+,A,B+,B,9.12,C,A,A,A+,A,C,C,B+,B+,C,9.36,C+,A+,C,C+,A,B+,C,7.06,B,A,A+,A+,C+,A+,B+,C,A,6.82,,A+
Student_313,73.38,69.85,B+,C+,B+,B+,C,A+,B,A,C,C+,9.15,A+,C,B,C+,C,C,C+,A,B,9.35,B+,B+,B+,A,B,A,C,B,C+,7.23,A+,C+,A,A,A,A,A+,A,C,A,6.87,B,C,A+,C+,C+,A+,B+,6.59,A+,B,C,A+,A,B+,B+,C+,B,6.57,,A
Student_314,83.76,75.43,B,B+,B,C+,B+,B+,C,B+,C,A+,7.55,A,B+,C,A,C+,B+,B,A+,C,8.73,B+,C+,C,A,A,C,A+,B+,C,7.06,B,C+,C+,A+,A,C,B,B,B,A,8.48,A+,A+,A+,C+,A,B,C,7.13,C+,C,A,C+,C,A+,B,B,C,7.66,,A+
Student_315,79.76,82.25,C+,A,A+,A,C+,A,B+,B,A+,A,9.61,C+,A+,A+,C,C+,B+,B,A,B,7.53,B+,A,B+,B,A,A+,C+,B+,B,7.22,A+,C+,C,B,B,C+,C,A+,C,B+,9.37,C+,B,B,C+,B,A,B,7.39,C+,A+,C,C+,C,B,A,A,A+,6.95,,A
Student_316,68.08,83.09,A+,C,A+,B+,B+,A,A+,C+,B,B+,9.22,C,A+,C+,A,C,C+,A,C,C+,8.47,B,C+,B,A,C+,B+,A,B+,C+,6.13,C,C+,B+,C,A+,C,A+,C,A+,B,9.22,C,A+,C,A,B,C+,B+,9.74,C+,A+,A,A+,C+,B,B+,A,B,9.69,,C
Student_317,78.46,80.33,A,A,B+,B+,A,B,B,B+,C,C,6.62,A+,B+,C,B,C+,C,C,B+,B+,6.17,B,A,C+,A,B,C+,B,A+,A,8.44,B+,A+,B+,B+,A,B+,B,B,B+,B+,9.4,B,A+,C,C,B,C+,A,9.1,A+,C+,C+,C+,B+,B+,A,C+,B+,7.94,,B+
Student_318,85.64,70.04,C,A,A+,B+,B+,A+,B,C+,B,C,9.66,A+,A,B+,C+,C+,C+,A+,C+,C+,7.1,B,B,B+,B+,A,B,A,C,C+,9.46,A+,C+,C+,B+,B+,C,B+,C,C+,C,9.58,A,C,A+,B+,B,B+,A+,9.21,A,C+,B,B,A+,A+,B+,B,B,6.07,,C+
Student_319,92.39,88.37,A,A,B+,C+,B,A,A,B+,C+,A+,7.73,A+,C+,C,C,A+,B,C+,B+,B+,8.12,C,A+,C,A+,A,B+,C,C+,B+,6.12,B,C+,C,C+,C,B+,B,A+,C,C,9.1,C+,B,C+,B+,C+,A+,C,6.46,A+,A,C,A,B+,A+,A,B+,B,8.6,,B+
Student_320,72.1,67.13,C+,A+,C+,B+,A+,A+,B+,A,A+,C+,6.48,C,A,A,C,B,A+,A+,C,B,8.54,B,B+,C,B+,C+,B+,B,C+,A+,6.13,B+,B+,B,B+,A+,B,C+,A,C,C,6.81,B,C+,A,A+,B,C,C,7.77,A,B+,A+,A+,A,C+,C,A,C+,8.03,,C
Student_321,77.64,72.22,A+,A+,B,B,A+,C,A+,B,C+,C+,6.79,B+,A+,C+,A,C+,A,B+,A+,C+,8.15,A,A,A,A+,A+,A,A+,A,A+,6.26,A+,A,C+,A,C+,C+,B+,B,B,B+,8.31,C,A,C,B+,B+,B+,B+,7.49,B,A,C,C+,B,C,A,A,A+,7.32,,A+
Student_322,66.73,62.68,B+,C,C+,B,C,B,B,B+,C+,A,6.6,A+,C,C+,C,B+,A,C+,A,B+,6.3,A,A+,C+,B,A,B+,A+,B,C+,6.61,B+,C,C+,C,A+,B,A+,A+,B,B,6.94,B+,C+,A,B,C+,C+,A+,7.86,C+,A,C,C,C+,B,C,A,C+,8.83,,A
